Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent
apartamento a venda leblon,170,17,"0,15","0,58",2490000,Commercial
apartamento a venda limeira,170,15,"0,29","0,69",91,Commercial
apartamento a venda maua,170,17,"0,12","0,67",99,Commercial
apartamento a venda morumbi,170,20,"0,27","0,64",4310000,Commercial
apartamento a venda na vila mariana,170,15,"0,35","0,76",93,Commercial
apartamento a venda no capao raso,170,13,"0,07","0,6",65,Commercial
apartamento a venda no centro de curitiba,170,15,"0,06","0,62",12300000,Commercial
apartamento a venda no gama df,170,15,"0,07","0,55",67,Commercial
apartamento a venda no guarujá,170,18,"0,08","0,6",84,Commercial
apartamento a venda no horto florestal,170,17,"0,15","0,62",72,Commercial
apartamento a venda no ipiranga,170,15,"0,32","0,7",3960000,Commercial
apartamento a venda no leblon,170,20,"0,17","0,6",2410000,Commercial
apartamento a venda no rudge ramos,170,13,"0,15","0,68",59,Commercial
apartamento a venda olx,170,29,"0,17","0,26",31,"Navigational, Transactional"
apartamento a venda pitangueiras guaruja,170,14,"0,06","0,63",79,Commercial
apartamento a venda pituba,170,16,"0,1","0,39",76,Commercial
apartamento a venda praia grande olx,170,31,"0,06","0,39",30,"Navigational, Transactional"
apartamento a venda praia grande ubatuba,170,15,"0,09","0,49",95,Commercial
apartamento a venda rj,170,29,"0,18","0,57",51,Commercial
apartamento a venda sao vicente,170,17,"0,09","0,58",13500000,Commercial
apartamento a venda taguatinga,170,13,"0,06","0,5",72,Commercial
apartamento a venda taubate,170,15,"0,17","0,63",88,Commercial
apartamento a venda vila formosa,170,13,"0,2","0,65",81,Commercial
apartamento a venda vila laura,170,14,"0,07","0,55",76,Commercial
apartamento copacabana venda,170,18,"0,19","0,53",8100000,Commercial
apartamento copacabana venda 2 quartos,170,17,"0,18","0,58",93,Commercial
apartamento em curitiba a venda,170,18,"0,18","0,63",98,Commercial
apartamento ipiranga venda urgente,170,16,"0,36","0,67",56,Commercial
apartamento jundiaí venda,170,18,"0,36","0,65",1680000,Commercial
apartamento na penha para vender,170,19,"0,22","0,64",4540000,Commercial
apartamento para venda em guarulhos,170,18,"0,23","0,68",91,Commercial
apartamento para venda porto alegre,170,20,"0,32","0,72",87,Commercial
apartamento para vender em caruaru,170,15,"0,1","0,57",60,Commercial
apartamento para vender em curitiba,170,18,"0,16","0,66",11800000,Commercial
apartamento para vender em goiania,170,20,"0,32","0,67",61,Commercial
apartamento para vender em praia grande,170,15,"0,1","0,64",93,Commercial
apartamento praia grande à venda,170,17,"0,11","0,62",83,Transactional
apartamento venda bauru,170,11,"0,11","0,6",86,Commercial
apartamento venda boa viagem,170,18,"0,09","0,51",87,Commercial
apartamento venda guaratuba,170,14,"0,07","0,62",96,Commercial
apartamento venda icarai,170,21,"0,13","0,59",84,Commercial
apartamento venda ipiranga,170,16,"0,4","0,71",3690000,Commercial
apartamento venda jardim camburi,170,12,"0,06","0,55",75,Commercial
apartamento venda joinville,170,10,"0,14","0,69",7350000,Commercial
apartamento venda sorocaba,170,21,"0,29","0,65",5620000,Commercial
apartamento venda tijuca,170,18,"0,16","0,6",93,Commercial
apartamento vendas,170,53,"0,19","0,57",55,Commercial
apartamento à venda - zona norte sp até 200 mil,170,7,"0,3","0,63",59,Transactional
apartamento à venda - zona sul sp olx,170,28,0,"0,62",38,Transactional
apartamento à venda em balneário camboriú até 300 mil,170,14,"0,22","0,61",69,Transactional
apartamento à venda em curitiba,170,18,"0,11","0,61",11500000,Transactional
apartamento à venda no recreio até 300 mil,170,15,"0,14","0,6",44,Transactional
apartamentos a venda cuiaba,170,15,"0,2","0,57",82,Commercial
apartamentos a venda em barra velha sc,170,15,"0,11","0,69",98,Commercial
apartamentos a venda em bertioga,170,15,"0,14","0,66",95,Commercial
apartamentos a venda em caioba,170,15,"0,08","0,61",78,Commercial
apartamentos a venda em campo bom,170,8,"0,12","0,66",81,Commercial
apartamentos a venda em campo grande rj,170,14,"0,48","0,52",89,Commercial
apartamentos a venda em candeias jaboatão,170,15,"0,05","0,39",65,Commercial
apartamentos a venda em criciuma,170,11,"0,1","0,64",76,Commercial
apartamentos a venda em curitiba pr,170,17,"0,12","0,66",13200000,Commercial
apartamentos a venda em diadema,170,18,"0,37","0,55",75,Commercial
apartamentos a venda em lisboa,170,27,"0,27","0,65",80,Commercial
apartamentos a venda em mogi das cruzes,170,14,"0,11","0,62",80,Commercial
apartamentos a venda em montes claros,170,11,"0,09","0,61",88,Commercial
apartamentos a venda em nova iguaçu,170,15,"0,08","0,54",86,Commercial
apartamentos a venda em novo hamburgo,170,17,"0,26","0,69",94,Commercial
apartamentos a venda em porto velho,170,15,"0,03","0,54",76,Commercial
apartamentos a venda em poços de caldas,170,14,"0,06","0,61",86,Commercial
apartamentos a venda em santos sp,170,21,"0,09","0,63",97,Commercial
apartamentos a venda em são luis,170,14,"0,05","0,51",92,Commercial
apartamentos a venda em torres,170,13,"0,17","0,64",88,Commercial
apartamentos a venda em ubatuba sp,170,15,"0,08","0,63",3520000,Commercial
apartamentos a venda florianopolis,170,18,"0,11","0,61",2890000,Commercial
apartamentos a venda na vila guilherme,170,17,"0,23","0,7",68,Commercial
apartamentos a venda no tatuapé,170,17,"0,3","0,68",94,Commercial
apartamentos a venda osasco,170,17,"0,27","0,67",77,Commercial
apartamentos a venda salvador,170,21,"0,12","0,55",74,Commercial
apartamentos a venda santos,170,22,"0,08","0,65",98,Commercial
apartamentos a venda são paulo sp,170,43,"0,62","0,66",75,Commercial
apartamentos a venda tatuape,170,20,"0,33","0,66",95,Commercial
apartamentos a venda ubatuba,170,15,"0,09","0,55",3060000,Commercial
apartamentos a venda uberlandia,170,15,"0,19","0,66",2390000,Commercial
apartamentos a venda zona sul,170,21,"0,43","0,68",89,Commercial
apartamentos em santos para vender,170,24,"0,11","0,65",13700000,Commercial
apartamentos para venda em maceió,170,15,"0,08","0,56",89,Commercial
apartamentos para venda em salvador,170,20,"0,14","0,62",76,Commercial
apartamentos para vender em joão pessoa olx,170,28,"0,06","0,31",52,"Navigational, Transactional"
apartamentos praia grande venda,170,15,"0,09","0,6",88,Commercial
apartamentos venda recreio,170,20,"0,25","0,62",2010000,Commercial
apartamentos à venda - caraguatatuba olx,170,31,"0,09","0,58",29,Transactional
apartamentos à venda em bh até 150 mil,170,13,"0,22","0,62",59,Transactional
apartamentos à venda em campinas até 150 mil,170,15,"0,24","0,65",58,Transactional
apartamentos à venda em campinas até 200 mil,170,16,"0,2","0,66",65,Transactional
apartamentos à venda em fortaleza,170,22,"0,08","0,61",99,Transactional
apartamentos à venda em fortaleza olx,170,26,"0,08","0,47",14,Transactional
apartamentos à venda em goiânia olx,170,31,"0,15","0,5",36,Transactional
apartamentos à venda em governador valadares olx,170,28,"0,05","0,58",43,Transactional
apartamentos à venda em porto alegre até 200 mil,170,17,"0,27","0,64",52,Transactional
apartamentos à venda em santo andré até 150 mil,170,14,"0,18","0,62",52,Transactional
apartamentos à venda em santos até 300 mil,170,2,"0,07","0,62",64,Transactional
apartamentos à venda sbc barato,170,18,"0,2","0,62",48,Transactional
apartamentos à venda zona leste,170,18,"0,38","0,67",83,Transactional
app de venda de carros,170,38,"0,51","0,5",38600000,Commercial
app para vender produtos,170,36,"0,95","0,59",44800000,"Informational, Commercial"
app venda de carros,170,43,"0,8","0,51",37000000,Commercial
appmax plataforma de vendas ltda reclame aqui,170,28,"0,03","0,05",36,"Navigational, Transactional"
apt a venda em boa viagem,170,15,"0,09","0,44",65,Commercial
apto a venda campinas,170,22,"0,29","0,69",99,Commercial
apto a venda em bombinhas,170,15,"0,12","0,54",293000,Commercial
apto a venda em campo grande ms,170,12,"0,21","0,64",84,Commercial
apto a venda em caraguatatuba,170,15,"0,09","0,62",220000,Commercial
apto a venda em niteroi,170,20,"0,23","0,7",96,Commercial
apto a venda vila mariana,170,15,"0,47","0,69",2290000,Commercial
apto venda praia grande,170,17,"0,09","0,63",9350000,Commercial
aptos a venda em santo andre,170,17,0,0,677000,Commercial
aptos a venda na praia grande,170,17,0,0,4550000,Commercial
arena de rodeio a venda,170,19,0,"0,04",3080000,"Informational, Transactional"
argo a venda em bh,170,18,"0,11","0,34",74,Commercial
armas para venda,170,29,0,0,28100000,Commercial
armário de cozinha usado à venda,170,22,0,1,64,Transactional
arquetipo de vendas,170,20,"0,11","0,03",45000,"Informational, Commercial"
arranjos de suculentas para vender,170,25,0,1,64,"Informational, Transactional"
artes digitais para vender,170,23,"0,13","0,97",794000,Commercial
arthrotec vende em farmácia,170,16,0,"0,01",58,Commercial
asp/al promotora de vendas,170,9,0,0,86,Commercial
aspirador de pó à venda,170,36,"0,06",1,10400000,Transactional
assembleia de deus - venda nova,170,22,0,0,2220000,Commercial
assistente de marketing e vendas,170,21,"0,3","0,09",31800000,"Informational, Commercial"
astra a venda em maringa,170,13,"0,02","0,27",66,Commercial
augusto cury livros mais vendidos,170,10,"0,03","0,97",0,Commercial
autonomia de taxi rj a venda,170,21,"0,27","0,1",68,Transactional
auxiliadora predial vendas,170,21,"0,15","0,42",76,"Navigational, Transactional"
aves a venda olx cuiabá,170,29,0,"0,01",48,"Navigational, Transactional"
aviao seneca a venda,170,4,"0,04","0,17",78,Commercial
aviao venda,170,11,"0,03","0,51",2140000,Commercial
avião experimental venda,170,1,"0,03","0,35",80,Commercial
avião monomotor a venda,170,3,"0,02","0,31",74,Commercial
aviões bimotores a venda,170,4,"0,02","0,3",62,Commercial
aviões à venda,170,21,"0,05","0,62",5060000,Transactional
axolote venda,170,26,"0,04","0,16",83,Commercial
azera a venda em curitiba,170,17,"0,02","0,39",54,Commercial
azera a venda em sc,170,17,"0,02","0,16",49,Commercial
azera a venda em sp,170,25,"0,04","0,28",50,Commercial
azul de metileno vende em farmacia,170,5,"0,1",1,371000,Transactional
balancas usadas à venda olx,170,29,"0,08","0,9",56,Transactional
balsa flutuante a venda,170,22,"0,1","0,08",74,"Informational, Transactional"
banca de jornal a venda,170,10,"0,01","0,11",3930000,Commercial
bandeira do brasil a venda,170,21,"0,17",1,30300000,Transactional
bandeira do brasil venda,170,31,"0,16",1,23400000,Transactional
bandeira do brasil à venda,170,23,"0,06",1,26000000,Transactional
banner vende se,170,24,"0,15",1,39100000,"Informational, Transactional"
banner vende se geladinho,170,22,"0,12","0,94",38,"Informational, Transactional"
barbie para vender,170,31,"0,02","0,98",30000000,"Informational, Transactional"
barco de aluminio 4 metros usado a venda,170,21,"0,04","0,48",59,"Informational, Transactional"
barcos a venda usados olx,170,29,"0,04","0,07",46,"Navigational, Transactional"
barcos de madeira a venda no amazonas,170,21,0,"0,04",71,"Informational, Transactional"
barcos e motores de popa usados a venda olx,170,28,"0,04","0,18",46,"Navigational, Transactional"
barcos para venda,170,22,"0,04",1,23000000,Commercial
barcos usados a venda em são josé do rio preto,170,1,"0,05","0,07",71,Commercial
bares em venda nova,170,19,0,"0,02",7650000,Commercial
barraca para vender doces e salgados,170,22,"0,14","0,97",129000,"Informational, Transactional"
barraca para vender pastel,170,25,"0,04",1,93,"Informational, Transactional"
barracao a venda,170,18,"0,06","0,41",1410000,Commercial
barracos a venda,170,8,"0,18","0,02",80,"Informational, Transactional"
barracão à venda bairro das indústrias bh olx,170,28,"0,05","0,2",49,Transactional
barzinho em venda nova,170,25,0,"0,02",97,Commercial
bateria venda,170,32,"0,61","0,96",31600000,Transactional
batom da mac mais vendido,170,17,"0,16",1,73,"Informational, Commercial"
bau a venda,170,11,"0,06","0,92",72,Commercial
baú à venda,170,10,"0,1","0,69",51,Transactional
belina 4x4 a venda,170,17,"0,03","0,19",57,Commercial
betoneira usada para vender,170,27,"0,06",1,65,Commercial
betoneira à venda,170,21,"0,07",1,97,Transactional
beyblade à venda,170,36,"0,02",1,53,"Informational, Transactional"
bezerras a venda em goiás olx,170,28,0,"0,01",51,"Navigational, Transactional"
bezerras jersey a venda,170,10,"0,03","0,28",45,"Informational, Commercial"
bezerro nelore a venda,170,10,"0,05","0,23",68,Commercial
bezerros a venda em sc,170,17,"0,01","0,11",67,Transactional
biblia a venda,170,24,"0,05",1,8730000,Commercial
biblia para venda,170,29,"0,04",1,30100000,Transactional
biblia venda,170,32,"0,07",1,19500000,"Informational, Transactional"
biblias vendas,170,33,"0,07",1,32700000,Commercial
bicicleta antiga a venda,170,27,"0,01","0,81",69,Commercial
bicicleta aro 29 mais vendidas,170,7,"0,04",1,70,Commercial
bicicleta elétrica para vender,170,24,"0,05",1,1090000,Commercial
bicicleta elétrica à venda,170,31,"0,04",1,4170000,Transactional
bicicleta usadas para vender,170,28,"0,03",1,88,Commercial
bico de pimenta a venda,170,4,0,"0,08",370000,Transactional
bigorna a venda,170,23,"0,02",1,81,Commercial
bike montadinha a venda,170,25,"0,05","0,16",32,"Informational, Transactional"
bike para vender,170,24,"0,05",1,99,Commercial
bitrem 7 eixo à venda no paraná,170,11,"0,03","0,21",58,Transactional
biz para vender,170,24,"0,03","0,17",36,Commercial
blazer a venda em sp,170,19,"0,03","0,39",76,"Informational, Commercial"
blazer v6 a venda,170,16,"0,02","0,23",50,Commercial
bmw 320 a venda,170,11,"0,04","0,3",75,Commercial
bmw a venda em sp,170,17,"0,04","0,39",60,Commercial
boas vendas a todos,170,26,"0,27","0,01",31500000,"Informational, Commercial"
bomba de concreto a venda,170,10,"0,07","0,77",6000000,"Informational, Transactional"
boneca mais vendidas,170,25,"0,03","0,99",9990000,"Informational, Commercial"
bonecas mais vendidas,170,23,"0,03","0,99",235000,Commercial
bones a venda,170,26,"0,06",1,6000000,"Informational, Transactional"
bonés mais vendidos 2022,170,19,"0,06",1,253000,"Informational, Commercial"
boulevard 1800 à venda,170,20,"0,01","0,32",68,Transactional
boulevard m800 a venda,170,21,"0,01","0,16",57,Commercial
brasilia a venda barato,170,20,"0,03","0,23",3640000,Commercial
brasilia a venda em sp,170,19,"0,03","0,23",18200000,Commercial
brasilias a venda,170,22,"0,03","0,24",84900000,Commercial
brinquedos de parque de diversões a venda,170,23,"0,09",1,995000,Commercial
bros a venda,170,22,"0,02","0,14",24100000,Commercial
buceta a venda,170,19,"0,04","0,15",62,"Informational, Commercial"
bugre a venda rj,170,21,"0,01","0,13",77,Transactional
bugre venda,170,21,"0,02","0,14",90,Commercial
burgman 400 a venda,170,14,"0,01","0,17",65,Commercial
bíblia das vendas,170,28,"0,05","0,95",2410000,"Informational, Transactional"
c10 a venda rj,170,23,"0,04","0,1",51,Commercial
c14 a venda,170,20,"0,02","0,15",68,Commercial
c3 a venda em sc,170,17,"0,27","0,38",70,Commercial
cabine d10 a venda,170,15,"0,04","0,16",52,"Informational, Transactional"
cabras saanen a venda em minas gerais,170,21,"0,01","0,16",55,"Informational, Transactional"
caetité vendas,170,22,0,0,86,Commercial
caiaque à venda,170,29,"0,04",1,517000,Transactional
caixa de som à venda,170,29,"0,04",1,56,Transactional
caixa imoveis venda direta,170,33,0,"0,01",84,"Navigational, Transactional"
caixa imóveis à venda,170,39,"0,28","0,02",74,Transactional
caixa venda de imoveis,170,46,"0,27","0,03",70,"Navigational, Transactional"
calcinhas venda,170,14,"0,15",1,14100000,Transactional
cama para vender,170,23,"0,07",1,84,Transactional
camaleão a venda,170,15,"0,02","0,13",562000,Transactional
camara fria usada a venda,170,16,"0,09","0,97",67,Transactional
camaro à venda,170,19,"0,08","0,31",80,Transactional
caminhao 3 4 a venda em betim mg,170,17,"0,04","0,28",61,Commercial
caminhao 3/4 a venda em contagem mg,170,13,"0,05","0,33",55,Commercial
caminhao a venda campo grande ms,170,21,"0,05","0,29",79,Commercial
caminhao a venda em itajai,170,5,"0,05","0,4",66,Commercial
caminhao a venda em presidente prudente,170,10,"0,04","0,11",81,Transactional
caminhao a venda no df,170,10,"0,04","0,17",73,Commercial
caminhao a venda no rj,170,20,"0,02","0,09",74,Commercial
caminhao a venda são paulo,170,9,"0,07","0,44",87,Commercial
caminhao caçamba a venda no rs,170,9,"0,03","0,33",67,Commercial
caminhao mercedes a venda rs,170,9,"0,07","0,03",74,"Informational, Commercial"
caminhao munk a venda,170,10,"0,1","0,35",62,Commercial
caminhao tracado a venda,170,13,"0,06","0,33",42,Commercial
caminhoes 3/4 a venda em sp,170,16,"0,05","0,46",62,Commercial
caminhoes a venda em campos dos goytacazes olx,170,28,"0,15","0,02",31,"Navigational, Transactional"
caminhoes a venda em castanhal pa,170,28,"0,08","0,21",78,"Navigational, Transactional"
caminhoes a venda em guarapuava,170,23,"0,06","0,15",81,Transactional
caminhoes a venda em itajai,170,15,"0,05","0,4",72,Commercial
caminhoes a venda em juazeiro do norte,170,22,"0,05","0,11",76,Commercial
caminhoes a venda em maracaju ms,170,12,"0,06","0,24",54,Commercial
caminhoes a venda em minas gerais olx,170,28,0,"0,01",48,"Navigational, Transactional"
caminhoes a venda em passo fundo rs,170,12,"0,05","0,25",86,Commercial
caminhoes a venda em rs,170,18,"0,02","0,07",88,Commercial
caminhoes a venda em sc joinville para/ assumir divida,170,15,"0,05","0,03",22,Commercial
caminhoes a venda em visconde do rio branco mg,170,17,"0,09","0,11",47,Commercial
caminhoes a venda no rs olx,170,31,"0,1","0,02",54,"Navigational, Transactional"
caminhoes a venda olx mg,170,29,"0,26","0,02",48,"Navigational, Transactional"
caminhoes antigos a venda olx,170,29,"0,03","0,11",21,"Navigational, Transactional"
caminhonete c10 carroceria de madeira à venda,170,23,0,"0,12",38,Transactional
caminhonete f1000 à venda,170,21,"0,03","0,22",61,Transactional
caminhonetes a venda rs,170,21,"0,07","0,23",88,Commercial
caminhão 1113 a venda no rio de janeiro,170,13,"0,02","0,09",34,Commercial
caminhão 1313 a venda olx pernambuco toco,170,28,"0,01","0,08",41,"Navigational, Transactional"
caminhão 1318 à venda,170,10,"0,03","0,19",59,Transactional
caminhão 1513 1518 à venda,170,23,0,0,40,"Informational, Transactional"
caminhão 1620 à venda no mercado livre,170,31,0,"0,07",36,Transactional
caminhão 3 4 a venda em curitiba,170,8,"0,03","0,15",67,Commercial
caminhão 3/4 a venda em sp olx,170,28,"0,06","0,26",49,"Navigational, Transactional"
caminhão a venda campinas,170,11,"0,05","0,4",2050000,Commercial
caminhão a venda em cachoeiro de itapemirim es,170,22,"0,04","0,08",73,Commercial
caminhão a venda em maringa,170,15,"0,03","0,2",213000,Commercial
caminhão a venda em ribeirão preto olx,170,28,"0,08","0,13",42,"Navigational, Transactional"
caminhão a venda em sapiranga rs olx,170,29,0,"0,06",33,"Navigational, Transactional"
caminhão a venda em sp,170,16,"0,05","0,19",12600000,Commercial
caminhão a venda em tatuí,170,19,"0,06","0,09",69,Commercial
caminhão a venda em uberlândia,170,22,"0,05","0,22",230000,Commercial
caminhão a venda olx df,170,29,0,0,38,"Navigational, Transactional"
caminhão a venda olx mg,170,29,"0,26","0,02",48,"Navigational, Transactional"
caminhão a venda uberlandia,170,22,"0,03","0,3",167000,Commercial
caminhão agrale à venda,170,25,"0,04","0,27",80,Transactional
caminhão baú 3 4 à venda,170,9,"0,05","0,39",72,Transactional
caminhão canavieiro a venda,170,10,"0,04","0,22",70,"Informational, Transactional"
caminhão caçamba a venda em curitiba e região,170,8,"0,05","0,18",76,Commercial
caminhão caçamba a venda ms,170,10,"0,05","0,31",63,Commercial
caminhão caçamba a venda olx mg,170,28,"0,04","0,13",44,"Navigational, Transactional"
caminhão caçamba a venda rs,170,9,"0,04","0,34",68,Commercial
caminhão caçamba à venda usada,170,20,"0,06","0,36",47,Transactional
caminhão guincho a venda barato,170,22,"0,05","0,3",61,Commercial
caminhão guincho venda,170,11,"0,05","0,42",77,Transactional
caminhão guincho à venda,170,17,"0,05","0,33",64,Transactional
caminhão limpa fossa a venda olx,170,28,"0,06","0,2",47,"Navigational, Transactional"
caminhão munck a venda barato,170,10,"0,24","0,36",52,Commercial
caminhão poliguindaste a venda olx,170,29,"0,03","0,2",41,"Navigational, Transactional"
caminhão prancha 3 4 à venda,170,16,"0,04","0,29",60,Transactional
caminhão prancha 3/4 à venda,170,24,"0,04","0,29",68,Transactional
caminhão rollon off usado a venda olx mg,170,37,"0,04","0,24",24,"Navigational, Transactional"
caminhão toco caçamba à venda,170,13,"0,03","0,26",65,Transactional
caminhão truck a venda particular,170,14,"0,05","0,34",44,Commercial
caminhão venda sc,170,13,"0,04","0,28",71,Commercial
caminhão à venda em alagoas,170,21,"0,05","0,05",93,Transactional
caminhão à venda em belo horizonte,170,13,"0,04","0,25",87,Transactional
caminhão à venda em joão monlevade,170,15,"0,03","0,19",53,Transactional
caminhão à venda em pará de minas,170,24,"0,06","0,1",56,Transactional
caminhão à venda no rio grande do norte,170,28,"0,05","0,11",82,Transactional
caminhões 3 4 à venda em santa catarina,170,8,"0,04","0,38",52,Transactional
caminhões a venda cascavel pr,170,16,"0,03","0,16",94,Commercial
caminhões a venda em ararangua,170,16,"0,08","0,11",66,Commercial
caminhões a venda em batatais,170,26,"0,06","0,17",60,Commercial
caminhões a venda em bh,170,20,"0,04","0,2",841000,Commercial
caminhões a venda em cachoeiro de itapemirim es,170,19,"0,04","0,08",85,Commercial
caminhões a venda em castanhal pa,170,30,"0,08","0,21",71,Transactional
caminhões a venda em divinópolis,170,15,"0,05","0,11",80,Commercial
caminhões a venda em feira de santana,170,25,"0,06","0,14",1400000,Commercial
caminhões a venda em guaramirim - sc,170,15,"0,06","0,12",46,Commercial
caminhões a venda em guaramirim sc,170,19,"0,06","0,12",47,Commercial
caminhões a venda em maracaju ms,170,12,"0,06","0,24",52,Commercial
caminhões a venda em osasco olx,170,28,"0,11","0,08",32,"Navigational, Transactional"
caminhões a venda em passo fundo rs,170,8,"0,05","0,25",91,Commercial
caminhões a venda em são leopoldo rs,170,17,"0,04","0,14",84,Commercial
caminhões a venda em são martinho - rs,170,8,"0,11","0,22",50,Commercial
caminhões a venda em teresópolis rj,170,25,"0,04","0,07",59,Commercial
caminhões a venda em tubarao/sc,170,12,"0,06","0,22",98,Commercial
caminhões a venda em uberlândia olx,170,28,"0,07","0,07",44,"Navigational, Transactional"
caminhões a venda em volta redonda olx,170,28,0,"0,02",42,"Navigational, Transactional"
caminhões a venda já financiados para assumir dívida olx,170,35,"0,08","0,01",60,"Navigational, Transactional"
caminhões a venda na serra gaucha,170,7,"0,04","0,15",75,Commercial
caminhões a venda no df,170,10,"0,04","0,17",96,Commercial
caminhões a venda olx mg,170,29,"0,26","0,02",53,"Navigational, Transactional"
caminhões boiadeiros à venda,170,20,"0,05","0,29",58,Transactional
caminhões usados para venda,170,26,"0,08","0,43",17000000,Commercial
caminhões à venda em belo jardim pe,170,16,0,"0,19",70,Transactional
caminhões à venda em divinópolis,170,15,"0,04","0,12",83,Transactional
caminhões à venda em fortaleza,170,21,"0,02","0,06",1750000,Transactional
caminhões à venda em franca,170,16,"0,05","0,3",4110000,Transactional
caminhões à venda em minas gerais olx,170,28,0,0,59,Transactional
caminhões à venda em patos de minas,170,14,"0,03","0,24",72,Transactional
caminhões à venda em ponta grossa,170,15,"0,04","0,1",83,Transactional
caminhões à venda em ribeirão preto,170,20,"0,03","0,16",4740000,Transactional
caminhões à venda em santa maria rs,170,10,"0,03","0,16",1540000,"Informational, Transactional"
caminhões à venda em são josé do rio preto,170,13,"0,04","0,13",5010000,Transactional
caminhões à venda no olx,170,38,"0,11","0,14",45,Transactional
camionetas a venda,170,25,"0,06","0,26",97,Commercial
camocim compra e venda,170,13,"3,56","0,09",82,Transactional
cancelar recibo de compra e venda de veículo,170,17,0,0,92,Transactional
canetas decoradas para vender,170,25,"0,13","0,87",39,"Informational, Transactional"
canil de cachorro para venda,170,14,"0,08","0,77",2100000,Commercial
canoa de madeira usada para vender,170,20,0,"0,05",89,"Informational, Transactional"
captiva a venda em bh,170,17,"0,04","0,25",61,"Informational, Commercial"
captiva a venda no rs,170,19,"0,02","0,26",46,Commercial
captiva para vender em porto alegre,170,21,0,"0,43",55,Commercial
cardápio marmita fitness para vender,170,13,"0,12","0,78",129000,"Informational, Commercial"
carregadeira a venda,170,10,"0,09","0,73",80,Commercial
carreta 3 eixos usada à venda,170,12,"0,03","0,28",35,Transactional
carreta basculante a venda,170,10,"0,04","0,48",1020000,Commercial
carreta caçamba basculante usada a venda olx,170,28,"0,03","0,22",43,"Navigational, Transactional"
carreta cegonha a venda,170,14,"0,03","0,22",61,Commercial
carreta prancha a venda,170,10,"0,04","0,42",70,"Informational, Transactional"
carretas a venda no rs,170,9,"0,03","0,26",59,Commercial
carretinha 2 eixos usada à venda,170,18,"0,04","0,12",44,Transactional
carretinha para vender,170,29,"0,05","0,75",48,"Informational, Transactional"
carretinha reboque usada barata a venda olx belo horizonte mg,170,30,0,"0,07",33,"Navigational, Transactional"
carrinho de caldo de cana usado para vender,170,21,"0,02","0,22",51,"Informational, Transactional"
carrinho para vender drinks,170,22,"0,03",1,162000,"Informational, Transactional"
carro a venda em bh,170,33,"0,09","0,34",15700000,Commercial
carro gol a venda,170,22,"0,07","0,38",83,Commercial
carro usado venda,170,73,"0,13","0,54",33700000,Commercial
carro vender,170,52,"0,11","0,47",146000000,Commercial
carroca a venda,170,21,"0,01","0,06",78,"Informational, Transactional"
carroceria prancha para caminhao truck usada a venda,170,7,"0,08","0,07",44,"Informational, Transactional"
carros a venda ate 25 mil,170,16,"0,06","0,54",75,"Informational, Commercial"
carros a venda ate 50 mil,170,21,"0,1","0,55",85,"Informational, Commercial"
carros a venda bauru,170,15,"0,07","0,54",95,Commercial
carros a venda cascavel,170,22,"0,05","0,42",96,Commercial
carros a venda conselheiro lafaiete,170,23,"0,04","0,19",71,Commercial
carros a venda em americana sp,170,17,"0,08","0,48",83,Commercial
carros a venda em apucarana,170,22,"0,05","0,16",71,Commercial
carros a venda em arapongas,170,18,"0,04","0,23",73,Commercial
carros a venda em barbacena mg,170,27,"0,04","0,07",62,Commercial
carros a venda em barueri sp,170,21,0,"0,43",76,Commercial
carros a venda em bh e regiao,170,33,"0,07","0,32",89,Commercial
carros a venda em bragança paulista,170,22,"0,06","0,25",78,Commercial
carros a venda em cachoeiro de itapemirim,170,24,"0,03","0,23",69,Commercial
carros a venda em cajamar,170,23,"0,07","0,09",69,Commercial
carros a venda em campinas até 30 mil,170,17,"0,09","0,65",62,Commercial
carros a venda em caruaru,170,19,"0,04","0,17",70,Commercial
carros a venda em caxias do sul,170,20,"0,06","0,41",87,Commercial
carros a venda em franco da rocha,170,22,"0,1","0,16",49,Commercial
carros a venda em garanhuns,170,24,"0,05","0,13",53,Commercial
carros a venda em governador valadares,170,24,"0,04","0,16",71,Commercial
carros a venda em gv,170,24,"0,04","0,2",84,Commercial
carros a venda em ijui rs,170,21,"0,06","0,08",85,Commercial
carros a venda em itabira mg,170,21,"0,02","0,08",63,Commercial
carros a venda em itatiba,170,23,"0,07","0,4",65,Commercial
carros a venda em juazeiro do norte,170,22,"0,04","0,2",60,Commercial
carros a venda em macapá,170,21,"0,07","0,19",84,Commercial
carros a venda em mg,170,21,"0,06","0,26",95,Commercial
carros a venda em parnaíba,170,24,"0,04","0,29",71,Commercial
carros a venda em pato branco pr,170,21,"0,05","0,45",81,Commercial
carros a venda em pelotas,170,23,"0,06","0,21",91,Commercial
carros a venda em suzano,170,17,"0,11","0,5",73,Commercial
carros a venda em uberlândia,170,22,"0,05","0,31",100,Commercial
carros a venda em umuarama,170,23,"0,03","0,32",73,Commercial
carros a venda em vargem grande paulista,170,22,"0,12","0,18",66,Commercial
carros a venda florianopolis,170,12,"0,13","0,62",91,Commercial
carros a venda garanhuns,170,25,"0,04","0,12",57,Commercial
carros a venda goiania,170,20,"0,07","0,55",12900000,Commercial
carros a venda itapetininga,170,23,"0,05","0,26",57,Commercial
carros a venda juiz de fora,170,16,"0,07","0,4",73,Commercial
carros a venda limeira,170,19,"0,06","0,38",78,Commercial
